STA NET DIST AZ BAZ STA_LAT STA_LON EQ_LAT EQ_LON EQ_DEP EQ_MAG EQ_NAME POLARFLAG QUALITY PREM AMP CCC1 SNRAVE DT PHASE STRETCHC STRETCHF MISFITSIG COMP TAG1 TAG2 TAG3 TAG4 TAG5 WEIGHT TAG6 TAG7 ONSET ENDSET TSTARF TSTARC CCC2 MISFITPRE MISFITBAK GRECORD GSEW GMISFIT POLARITY POLAR_RIGHT TRAFFIC PRE2T PRE3T BAK2T BAK3T SNR_TROUGH SNR_PEAK SNR_SMALL
SB09 7B 122.879 216.627 136.714 -32.289 146.857 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2298.770 0.002344446 0.77 0.46 -24.8 ScSScS 0.98 1.18 6.43 T -15.20 280 -100.00 90.00 -43.200 0.00 0.00 0.17 -21.50 -8.90 2.83 0.96 0.97 112.45 89.40 33.40 27.50 0.21 -0.44
SB10 7B 124.114 221.275 133.059 -28.660 149.012 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2308.270 0.002894886 0.74 0.55 42.2 ScSScS 0.92 0.48 53.53 T 50.40 190 -100.00 90.00 31.400 0.00 0.00 0.87 45.00 55.80 0.95 0.90 0.99 58.73 45.67 29.40 27.50 0.07 -0.50
SB06 7B 124.321 209.348 144.453 -35.037 140.146 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2309.480 0.003868658 0.83 0.66 21.5 ScSScS 0.87 0.68 5.58 T 33.00 190 -100.00 90.00 14.000 0.00 0.00 0.07 25.30 40.70 1.35 0.98 0.99 57.66 34.20 41.60 27.50 0.51 -0.34
SB05 7B 126.109 212.851 141.637 -31.879 141.595 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2323.220 0.005324380 0.88 1.02 16.0 ScSScS 0.89 1.18 6.33 T 26.00 286 -100.00 90.00 -2.600 0.00 0.00 0.15 19.50 32.50 4.92 0.95 0.98 58.97 24.39 35.30 27.50 0.28 -0.39
ABKT II 127.530 52.256 283.248 37.930 58.119 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2335.730 0.000000803 1.00 1.38 -3.9 ScSScS 1.00 0.93 3.70 T 4.30 190 -100.00 90.00 -14.700 0.00 0.00 0.11 -1.10 9.70 0.95 1.00 0.99 22.28 38.11 29.40 27.50 0.07 0.43
SB03 7B 129.384 214.281 141.428 -28.600 140.265 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2348.400 0.009221304 0.89 1.46 8.5 ScSScS 1.00 1.33 6.88 T 19.10 293 -100.00 90.00 -10.200 0.00 0.00 0.15 12.30 25.90 7.17 0.94 0.97 87.45 24.21 37.60 27.50 0.37 -0.41
SB01 7B 131.938 215.983 140.626 -25.792 139.589 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2368.230 0.000025615 0.78 1.09 12.2 ScSScS 0.84 1.58 13.59 T 24.10 310 -100.00 90.00 -6.900 0.00 0.00 0.23 16.60 31.60 11.82 0.89 0.98 76.35 59.93 42.90 27.50 0.56 -0.44
PMG GE 137.240 239.974 121.340 -9.409 147.154 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2410.530 0.000002269 0.90 1.62 11.7 ScSScS 1.00 0.68 3.66 T 18.20 190 -100.00 90.00 -0.800 0.00 0.00 0.19 13.90 22.50 0.75 1.00 0.99 22.60 21.91 23.40 27.50 -0.15 -0.68
INU G 147.617 317.188 54.019 35.350 137.029 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2493.260 0.001831081 0.79 1.44 46.0 ScSScS 0.97 0.48 9.11 T 48.20 190 -100.00 90.00 29.200 0.00 0.00 0.43 46.70 49.70 0.25 0.90 0.94 1.40 29.75 7.80 27.50 -0.72 -0.54
HYB G 148.867 78.385 272.957 17.417 78.553 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2503.740 0.000000900 0.69 0.77 27.8 ScSScS 0.91 0.43 2.06 T 34.30 190 -100.00 90.00 15.300 0.00 0.00 0.14 30.00 38.60 0.75 0.99 0.99 26.63 7.97 23.40 27.50 -0.15 0.70
